users,event_type,country_code,no_categories,os,os_type,no_events,no_features
1,impbeacon,LA,15,"{""type"":""win"",""ver"":4}",win,231,999
2,impbeacon,LR,11,"{""type"":""win"",""ver"":5}",win,66,294
3,impbeacon,LU,16,"{""type"":""win"",""ver"":5}",win,179,792
3,impbeacon,LV,14,"{""type"":""win"",""ver"":1}",win,187,811
9,impbeacon,LV,19,"{""type"":""win"",""ver"":4}",win,1427,5939
10,impbeacon,LY,33,"{""type"":""win"",""ver"":4}",win,1621,7373
3,impbeacon,MA,31,NULL,NULL,5116,20
2,impbeacon,MA,23,"{""type"":""win"",""ver"":3}",win,1227,4728
1,impbeacon,MC,1,"{""type"":""win"",""ver"":4}",win,2,10
1,impbeacon,ME,3,"{""type"":""win"",""ver"":5}",win,11,47
1,impbeacon,MF,13,"{""type"":""win"",""ver"":1}",win,1071,1545
2,impbeacon,MG,15,"{""type"":""win"",""ver"":3}",win,352,1503
5,impbeacon,MK,8,"{""type"":""win"",""ver"":5}",win,197,864
3,impbeacon,ML,5,"{""type"":""win"",""ver"":4}",win,28,126
7,impbeacon,MN,29,"{""type"":""win"",""ver"":5}",win,1617,6782
1,impbeacon,MO,10,"{""type"":""win"",""ver"":4}",win,76,324
32,impbeacon,MQ,37,"{""type"":""win"",""ver"":5}",win,1249,5607
3,impbeacon,MR,15,"{""type"":""win"",""ver"":4}",win,538,2330
2,impbeacon,MT,6,"{""type"":""win"",""ver"":5}",win,20,85
5,impbeacon,MU,15,"{""type"":""win"",""ver"":4}",win,124,510
3,impbeacon,MW,5,"{""type"":""win"",""ver"":5}",win,20,96
500,impbeacon,MX,119,"{""type"":""win"",""ver"":1}",win,75791,334984
8042,impbeacon,MX,189,"{""type"":""win"",""ver"":4}",win,1445596,6117301
1,impbeacon,MY,3,"{""type"":""win"",""ver"":3}",win,6,27
3,impbeacon,MZ,17,"{""type"":""win"",""ver"":5}",win,339,1483
1,impbeacon,NA,6,"{""type"":""win"",""ver"":5}",win,20,83
4,impbeacon,NE,15,"{""type"":""win"",""ver"":4}",win,149,656
4,impbeacon,NG,18,"{""type"":""win"",""ver"":5}",win,466,2182
12,impbeacon,NL,27,"{""type"":""win"",""ver"":3}",win,1697,5085
1,impbeacon,NO,26,"{""type"":""win"",""ver"":3}",win,543,2205
6,impbeacon,NP,24,"{""type"":""win"",""ver"":5}",win,1834,8372
2,impbeacon,NULL,4,NULL,NULL,19,0
132,impbeacon,NULL,75,"{""type"":""win"",""ver"":1}",win,13198,57908
2569,impbeacon,NULL,162,"{""type"":""win"",""ver"":4}",win,292420,1174337
5,impbeacon,NZ,33,"{""type"":""win"",""ver"":4}",win,4412,18892
15,impbeacon,OM,33,"{""type"":""win"",""ver"":4}",win,1064,3917
94,impbeacon,PE,106,"{""type"":""win"",""ver"":5}",win,60614,266912
41,impbeacon,PH,63,"{""type"":""win"",""ver"":5}",win,12714,55860
